Species,Official gene symbol,Product type,Product description,UI
Mus musculus,SEC61G,protein-coding gene,Sec61 translocon gamma subunit,0.585
Mus musculus,RPL37RT,protein coding gene,"ribosomal protein L37, retrotransposed",0.583
Mus musculus,ATP5O,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",0.582
Mus musculus,EIF4G2,protein-coding gene,eukaryotic translation initiation factor 4 gamma 2,0.579
Mus musculus,AKR1A1,protein-coding gene,aldo-keto reductase family 1 member A1,0.578
Mus musculus,CALR,protein-coding gene,calreticulin,0.578
Mus musculus,PKM,protein-coding gene,pyruvate kinase M1/2,0.576
Mus musculus,RPL7A,protein-coding gene,ribosomal protein L7a,0.575
Mus musculus,EIF4A1,protein-coding gene,eukaryotic translation initiation factor 4A1,0.574
Mus musculus,RPL3-PS1,,,0.574
Mus musculus,EIF3F,protein-coding gene,eukaryotic translation initiation factor 3 subunit F,0.571
Mus musculus,EDF1,protein-coding gene,endothelial differentiation related factor 1,0.57
Mus musculus,GNB2,protein-coding gene,G protein subunit beta 2,0.57
Mus musculus,PRDX1,protein-coding gene,peroxiredoxin 1,0.57
Mus musculus,PPIA,protein-coding gene,peptidylprolyl isomerase A,0.569
Mus musculus,HNRNPU,protein-coding gene,heterogeneous nuclear ribonucleoprotein U,0.567
Mus musculus,RP23-123N23.5,,,0.567
Mus musculus,SMDT1,protein-coding gene,single-pass membrane protein with aspartate rich tail 1,0.567
Mus musculus,CD81,protein-coding gene,CD81 molecule,0.564
Mus musculus,NCL,protein-coding gene,nucleolin,0.564
Mus musculus,PABPC1,protein-coding gene,poly(A) binding protein cytoplasmic 1,0.563
Mus musculus,CLTA,protein-coding gene,clathrin light chain A,0.561
Mus musculus,NDUFB9,protein-coding gene,NADH:ubiquinone oxidoreductase subunit B9,0.561
Mus musculus,SEP15,,,0.561
Mus musculus,RPL21,protein-coding gene,ribosomal protein L21,0.56
Mus musculus,TXN1,protein coding gene,thioredoxin 1,0.559
Mus musculus,ATP5G1,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)",0.557
Mus musculus,RP24-202L5.2,,,0.557
Mus musculus,HSP90B1,protein-coding gene,heat shock protein 90 beta family member 1,0.556
Mus musculus,HSBP1,protein-coding gene,heat shock factor binding protein 1,0.553
Mus musculus,DYNLRB1,protein-coding gene,dynein light chain roadblock-type 1,0.552
Mus musculus,FKBP1A,protein-coding gene,FK506 binding protein 1A,0.552
Mus musculus,SRP14,protein-coding gene,signal recognition particle 14,0.552
Mus musculus,MAP1LC3B,protein-coding gene,microtubule associated protein 1 light chain 3 beta,0.551
Mus musculus,SNRPG,protein-coding gene,small nuclear ribonucleoprotein polypeptide G,0.55
Mus musculus,EIF3K,protein-coding gene,eukaryotic translation initiation factor 3 subunit K,0.549
Mus musculus,GM9843,,,0.549
Mus musculus,ARF1,protein-coding gene,ADP ribosylation factor 1,0.548
Mus musculus,ALDOA,protein-coding gene,"aldolase, fructose-bisphosphate A",0.547
Mus musculus,ATP6V1F,protein-coding gene,ATPase H+ transporting V1 subunit F,0.547
Mus musculus,ARF5,protein-coding gene,ADP ribosylation factor 5,0.546
Mus musculus,ATP6V1G1,protein-coding gene,ATPase H+ transporting V1 subunit G1,0.546
Mus musculus,RP23-235E15.1,,,0.546
Mus musculus,RP23-8J15.3,,,0.546
Mus musculus,ARL6IP1,protein-coding gene,ADP ribosylation factor like GTPase 6 interacting protein 1,0.544
Mus musculus,PARK7,protein-coding gene,Parkinsonism associated deglycase,0.544
Mus musculus,HSPE1,protein-coding gene,heat shock protein family E (Hsp10) member 1,0.542
Mus musculus,PSMB6,protein-coding gene,proteasome subunit beta 6,0.542
Mus musculus,RP23-366M19.1,,,0.542
Mus musculus,NDUFB11,protein-coding gene,NADH:ubiquinone oxidoreductase subunit B11,0.541
Mus musculus,RP24-228M19.1,,,0.54
Mus musculus,EIF3H,protein-coding gene,eukaryotic translation initiation factor 3 subunit H,0.539
Mus musculus,MIF,protein-coding gene,macrophage migration inhibitory factor,0.537
Mus musculus,POMP,protein-coding gene,proteasome maturation protein,0.537
Mus musculus,TUBA1A,protein-coding gene,tubulin alpha 1a,0.535
Mus musculus,NDUFC2,protein-coding gene,NADH:ubiquinone oxidoreductase subunit C2,0.533
Mus musculus,GPX4,protein-coding gene,glutathione peroxidase 4,0.532
Mus musculus,PRDX2,protein-coding gene,peroxiredoxin 2,0.53
Mus musculus,DAD1,protein-coding gene,defender against cell death 1,0.529
Mus musculus,GNB1,protein-coding gene,G protein subunit beta 1,0.529
Mus musculus,SRSF5,protein-coding gene,serine and arginine rich splicing factor 5,0.529
Mus musculus,SWI5,protein-coding gene,SWI5 homologous recombination repair protein,0.528
Mus musculus,BTF3,protein-coding gene,basic transcription factor 3,0.527
Mus musculus,NDUFB7,protein-coding gene,NADH:ubiquinone oxidoreductase subunit B7,0.526
Mus musculus,COPS9,protein-coding gene,COP9 signalosome subunit 9,0.525
Mus musculus,SRSF3,protein-coding gene,serine and arginine rich splicing factor 3,0.525
Mus musculus,CSNK1A1,protein-coding gene,casein kinase 1 alpha 1,0.521
Mus musculus,TMEM59,protein-coding gene,transmembrane protein 59,0.52
Mus musculus,SEPT7,protein-coding gene,septin 7,0.519
Mus musculus,TMBIM6,protein-coding gene,transmembrane BAX inhibitor motif containing 6,0.519
Mus musculus,SEC61B,protein-coding gene,Sec61 translocon beta subunit,0.518
Mus musculus,TMA7,protein-coding gene,translation machinery associated 7 homolog,0.517
Mus musculus,TUBA1B,protein-coding gene,tubulin alpha 1b,0.517
Mus musculus,CALM3,protein-coding gene,calmodulin 3,0.516
Mus musculus,EIF5,protein-coding gene,eukaryotic translation initiation factor 5,0.516
Mus musculus,RP24-239J20.1,,,0.514
Mus musculus,RPL15,protein-coding gene,ribosomal protein L15,0.514
Mus musculus,LAPTM4A,protein-coding gene,lysosomal protein transmembrane 4 alpha,0.513
Mus musculus,NDUFC1,protein-coding gene,NADH:ubiquinone oxidoreductase subunit C1,0.512
Mus musculus,RPS10-PS1,,,0.512
Mus musculus,NDUFB5,protein-coding gene,NADH:ubiquinone oxidoreductase subunit B5,0.511
Mus musculus,ATOX1,protein-coding gene,antioxidant 1 copper chaperone,0.51
Mus musculus,RPS27L,protein-coding gene,ribosomal protein S27 like,0.509
Mus musculus,SRSF2,protein-coding gene,serine and arginine rich splicing factor 2,0.508
Mus musculus,ATP6V0B,protein-coding gene,ATPase H+ transporting V0 subunit b,0.507
Mus musculus,NDUFB10,protein-coding gene,NADH:ubiquinone oxidoreductase subunit B10,0.507
Mus musculus,HSPA5,protein-coding gene,heat shock protein family A (Hsp70) member 5,0.506
Mus musculus,DBI,protein-coding gene,"diazepam binding inhibitor, acyl-CoA binding protein",0.505
Mus musculus,SEC62,protein-coding gene,"SEC62 homolog, preprotein translocation factor",0.504
Mus musculus,ATP5G3,protein coding gene,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)",0.503
Mus musculus,MT-ATP6,protein-coding gene,mitochondrially encoded ATP synthase membrane subunit 6,0.503
Mus musculus,TBCA,protein-coding gene,tubulin folding cofactor A,0.503
Mus musculus,TOMM7,protein-coding gene,translocase of outer mitochondrial membrane 7,0.503
Mus musculus,MRFAP1,protein-coding gene,Morf4 family associated protein 1,0.502
Mus musculus,PAIP2,protein-coding gene,poly(A) binding protein interacting protein 2,0.501
Mus musculus,RP23-223E16.4,,,0.5
Mus musculus,MORF4L1,protein-coding gene,mortality factor 4 like 1,0.498
